type_approval,country,source,confidence,evidence,generation,item,ta_pdf,issuer_prefix,issuer_authority,issuer_country,issuer_check,issuer_expected,issuer_table_source,issuer_note,issuer_authority_raw
e37-0010,Türkiye,TA-PDF: Name of model,belegt,Türkiye Dijital Takograf Kartlari / Turkish Digital Tachograph Cards,G1,Digital Tachograph Gl vl.6 version 2.2.1.N Cards of THALES with an INFINEON IFX_CCI_000039h chip JRC_DTLab/A3-183/D8-187/2026 v2.0 01/04/2026 01/10/2026,https://dtc.jrc.ec.europa.eu/PDF_Card/e37-0010.pdf,Türkiye,Sanayi ve Teknoloji Bakanlığı - D.G. for Metrology,Türkiye,bestaetigt,Sanayi ve Teknoloji Bakanlığı,Bescheid,,SANAYI VE TEKNOLOJi BAKANLIGI Metroloji ve Sanayi Ürünleri Güvenligi Genei Müdürlügü REPUBLIC OF TÜRKIYE MINISTRY OF IND
e26-22-1,Slovenia,Ausstellerbehoerde,Annahme,Ministrstvo za infrastrukturo,G1,CETIS Digital Tachograph G1GE JRC_DTLab/A3-183/20-188/2026 27/03/2026 27/09/2026,https://dtc.jrc.ec.europa.eu/PDF_Card/e26-22-1.pdf,Slovenia,Ministrstvo za infrastrukturo,Slovenia,bestaetigt,AVP - Javna agencija RS za varnost prometa,Bescheid,Ministrstvo za infrastrukturo,"Republika Slovenija, Ministrstvo za infrastrukturo"
e2-53,Armenia,TA-PDF: Name of model,belegt,Cartes tachygraphiques GEN1 Imprimerie Nationale pour l'Arménie,G1,Cartes tachygraphiques GEN1 Imprimerie Nationale pour l'ArmÃ©nie JRC_DTLab/16-178/50-185/2026 23/01/2026 23/07/2026,https://dtc.jrc.ec.europa.eu/PDF_Card/e2-53.pdf,France,DGE / Préfecture du Nord - Ministère de l'économie et des finances,France,bestaetigt,Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,"Ministère de l'Economie, des Finances et de la"
e69-AETR-0001-01,Israel,TA-PDF: Manufacturing mark,belegt,Tachograph G1 v1.6 cards for Israel,G1,Thales Digital Tachograph G1 v1.6 [ver. 2.2.1.N] JRC_DTLab/A3-183/A3-184/2025 23/12/2025 23/06/2026,https://dtc.jrc.ec.europa.eu/PDF_Card/e69-AETR-0001-01.pdf,Israel,MOT - Ministry of Transport and Road Safety,Israel,bestaetigt,MOT - Ministry of Transport and Road Safety,Bescheid,in der offiziellen Liste nicht gefuehrt,MOT (Ministry of Transport and Road Safety – Israel)
e4-AETR-0005-01,Moldova,TA-PDF: Name of model,belegt,Tachograph G1 cards for Moldova,G1,Thales Digital Tachograph G1 v1.6 JRC_DTLab/A3-183/2025 23/10/2025 23/04/2026,https://dtc.jrc.ec.europa.eu/PDF_Card/e4-AETR-0005-01.pdf,Netherlands,RDW - Rijksdienst voor het Wegverkeer,Netherlands,bestaetigt,RDW - Rijksdienst voor het Wegverkeer,Bescheid,,RDW Division Vehicle Regulation & Admission THE NETHERLANDS
e13-0004-00,Luxembourg,Ausstellerbehoerde,Annahme,SNCH - Société Nationale de Certification et d'Homologation,G2.2,Tachograph Card G2v2 - TachoDrive v4 Applet (41 63 06) on ID-One Cosmo X Java card (09 33 64 + 09 94 41 + 09 9E 21) JRC_DTLab/30-172/30-182/2024 05/12/2024 05/06/2025,https://dtc.jrc.ec.europa.eu/PDF_Card/e13_0004_00.pdf,Luxembourg,SNCH - Société Nationale de Certification et d'Homologation,Luxembourg,bestaetigt,SNCH - Société Nationale de Certification et d'Homologation,Bescheid,,SOCIÉTÉ NATIONALE DE
e68-001,Kyrgyzstan,Ausstellerbehoerde,Annahme,Ministry of Transport and Communication of the Kyrgyz Republic,G1,TachoDrive v4 on ID-One Cosmo X JRC_DTLab/30-172/16-178/2024 19/06/2024 19/12/2024,https://dtc.jrc.ec.europa.eu/PDF_Card/e68-001.pdf,Kyrgyzstan,Ministry of Transport and Communication of the Kyrgyz Republic,Kyrgyzstan,bestaetigt,Ministry of Transport and Communication of the Kyrgyz Republic,Bescheid,in der offiziellen Liste nicht gefuehrt,КЬПЧ ЬГЗ РЕСПУБЛИКАСЬ1НЬ1Н МИНИСТЕРСТВО ТРАНСПОРТ ЖАНА ТРАНСПОРТА И КОММУНИКАЦИЙ КОММУНИКАЦИЯЛАР КЬ1РГЬ13СКОЙ МИНИСТИРЛИ
e26-10-1,Slovenia,Ausstellerbehoerde,Annahme,Ministrstvo za infrastrukturo,G2.2,CETIS Smart Tachograph G2V2SI v2.0 JRC_DTLab/A3-156/20-179/2024 19/04/2024 19/10/2024,https://dtc.jrc.ec.europa.eu/PDF_Card/e26_10-1.pdf,Slovenia,Ministrstvo za infrastrukturo,Slovenia,bestaetigt,AVP - Javna agencija RS za varnost prometa,Bescheid,Ministrstvo za infrastrukturo,"Republika Slovenija, Ministrstvo za infrastrukturo"
e2-52,France,JRC-Kartenname,belegt,Cartes tachygraphiques GEN2v2 avec puce NFC Imprimerie Nationale pour la France JRC_DTLab/30-172/50-168/2024 21/02/2024 21/08/2024,G2.2,Cartes tachygraphiques GEN2v2 avec puce NFC Imprimerie Nationale pour la France JRC_DTLab/30-172/50-168/2024 21/02/2024 21/08/2024,https://dtc.jrc.ec.europa.eu/PDF_Card/e2-52.pdf,France,DGE / Préfecture du Nord - Ministère de l'économie et des finances,France,bestaetigt,Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,"Ministère de l'économie, des finances et de la souveraineté"
e2-51,France,JRC-Kartenname,belegt,Imprimerie Nationale tachograph cards GEN2 V2 with NFC chip for France JRC_DTLab/A3-156/50-176/2023 20/12/2023 20/06/2024,G2.2,Imprimerie Nationale tachograph cards GEN2 V2 with NFC chip for France JRC_DTLab/A3-156/50-176/2023 20/12/2023 20/06/2024,https://dtc.jrc.ec.europa.eu/PDF_Card/e2-51.pdf,France,DGE / Préfecture du Nord - Ministère de l'économie et des finances,France,bestaetigt,Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,"Ministère de l'économie, des finances et de la souveraineté"
